,availability,date,time checked
0,0,Jun 19,2020-06-19 11:16:07.639675
1,0,Jun 20,2020-06-19 11:16:07.639675
2,0,Jun 21,2020-06-19 11:16:07.639675
3,0,Jun 22,2020-06-19 11:16:07.639675
4,0,Jun 23,2020-06-19 11:16:07.639675
5,0,Jun 19,2020-06-19 11:17:33.355810
6,0,Jun 20,2020-06-19 11:17:33.355810
7,0,Jun 21,2020-06-19 11:17:33.355810
8,0,Jun 22,2020-06-19 11:17:33.355810
9,0,Jun 23,2020-06-19 11:17:33.355810
10,60,Aug 22,2020-07-03 16:27:31.882575
11,58,Aug 23,2020-07-03 16:27:31.882575
12,56,Aug 24,2020-07-03 16:27:31.882575
13,58,Aug 25,2020-07-03 16:27:31.882575
14,55,Aug 26,2020-07-03 16:27:31.882575
15,0,Jul 28,2020-07-03 16:58:15.241888
16,0,Jul 29,2020-07-03 16:58:15.241888
17,0,Jul 30,2020-07-03 16:58:15.241888
18,0,Jul 31,2020-07-03 16:58:15.241888
19,0,Aug 1,2020-07-03 16:58:15.241888
20,0,Jul 28,2020-07-03 17:00:34.011759
21,0,Jul 29,2020-07-03 17:00:34.011759
22,0,Jul 30,2020-07-03 17:00:34.011759
23,0,Jul 31,2020-07-03 17:00:34.011759
24,0,Aug 1,2020-07-03 17:00:34.011759
25,22,Aug 2,2020-07-03 17:00:48.782586
26,42,Aug 3,2020-07-03 17:00:48.782586
27,40,Aug 4,2020-07-03 17:00:48.782586
28,38,Aug 5,2020-07-03 17:00:48.782586
29,50,Aug 6,2020-07-03 17:00:48.782586
30,0,Aug 2,2020-07-08 14:13:35.780414
31,0,Aug 3,2020-07-08 14:13:35.780414
32,0,Aug 4,2020-07-08 14:13:35.780414
33,0,Aug 5,2020-07-08 14:13:35.780414
34,0,Aug 6,2020-07-08 14:13:35.780414
35,0,Aug 7,2020-07-08 14:13:37.886151
36,31,Aug 8,2020-07-08 14:13:37.886151
37,40,Aug 9,2020-07-08 14:13:37.886151
38,53,Aug 10,2020-07-08 14:13:37.886151
39,56,Aug 11,2020-07-08 14:13:37.886151
40,0,Aug 2,2020-07-08 14:15:25.511739
41,0,Aug 3,2020-07-08 14:15:25.511739
42,0,Aug 4,2020-07-08 14:15:25.511739
43,0,Aug 5,2020-07-08 14:15:25.511739
44,0,Aug 6,2020-07-08 14:15:25.511739
45,0,Aug 7,2020-07-08 14:15:27.619131
46,31,Aug 8,2020-07-08 14:15:27.619131
47,40,Aug 9,2020-07-08 14:15:27.619131
48,53,Aug 10,2020-07-08 14:15:27.619131
49,56,Aug 11,2020-07-08 14:15:27.619131
50,0,Aug 2,2020-07-08 14:30:25.908137
51,0,Aug 3,2020-07-08 14:30:25.908137
52,0,Aug 4,2020-07-08 14:30:25.908137
53,0,Aug 5,2020-07-08 14:30:25.908137
54,0,Aug 6,2020-07-08 14:30:25.908137
55,0,Aug 7,2020-07-08 14:30:29.028322
56,31,Aug 8,2020-07-08 14:30:29.028322
57,40,Aug 9,2020-07-08 14:30:29.028322
58,53,Aug 10,2020-07-08 14:30:29.028322
59,56,Aug 11,2020-07-08 14:30:29.028322
60,0,Aug 2,2020-07-08 14:45:25.451095
61,0,Aug 3,2020-07-08 14:45:25.451095
62,0,Aug 4,2020-07-08 14:45:25.451095
63,0,Aug 5,2020-07-08 14:45:25.451095
64,0,Aug 6,2020-07-08 14:45:25.451095
65,0,Aug 7,2020-07-08 14:45:27.701453
66,31,Aug 8,2020-07-08 14:45:27.701453
